condado,numero_sectores,poblacion_total
Grenada,5,21906
Griggs,1,2420
Grimes,6,26604
Grundy,22,86480
Guadalupe,30,136220
Guernsey,10,40087
Guilford,119,488406
Gulf,3,15863
Gunnison,4,15324
Guthrie,3,10954
Gwinnett,113,805321
Haakon,1,1937
Habersham,8,43041
Haines,1,2508
Hale,15,52033
Halifax,21,90932
Hall,51,241644
Hamblen,12,62544
Hamilton,365,1477502
Hamlin,2,5903
Hampden,103,463490
Hampshire,41,182044
Hampton,39,158526
Hancock,73,329065
Hand,2,3431
Hanover,23,99863
Hansford,2,5613
Hanson,1,3331
Haralson,5,28780
Hardee,6,27731
Hardeman,7,31392
Hardin,54,240116
Harding,2,1950
Hardy,3,14025
Harford,57,244826
Harlan,12,32701
Harmon,1,2922
Harnett,27,114678
Harney,2,7422
Harper,5,9719
Harris,791,4124483
Harrison,106,419794
Harrisonburg,11,48914
Hart,10,43412
Hartford,224,894014
Hartley,1,6062
Harvey,6,34684
Haskell,7,22924
Hawaii,34,185079
Hawkins,13,56833
Hayes,1,967
Hays,25,157107
Haywood,22,77823
Heard,3,11834
Hemphill,1,3807
Hempstead,5,22609
Henderson,64,266622
Hendricks,21,145448
Hendry,7,39140
Hennepin,299,1152425
Henrico,64,306935
Henry,103,493701
Herkimer,19,64519
Hernando,45,172778
Hertford,5,24669
Hettinger,2,2477
Hickman,7,29592
Hickory,3,9627
Hidalgo,115,779663
Highland,10,45910
Highlands,27,98786
Hill,17,51185
Hillsborough,407,1629947
Hillsdale,12,46688
Hinds,64,245285
Hinsdale,1,843
Hitchcock,1,2908
Hocking,7,29380
Hockley,7,22935
Hodgeman,1,1916
Hoke,9,46952
Holmes,17,81491
Holt,7,15347
Honolulu,244,953207
Hood,10,51182
Hood River,4,22346
Hooker,1,736
Hoonah-Angoon,2,2150
Hopewell,7,22591
Hopkins,21,82081
Horry,72,269291
Hot Spring,7,32923
Hot Springs,2,4812
Houghton,11,36628
Houston,60,292632
Howard,96,444622
Howell,8,40400
Hubbard,7,20428
Hudson,166,634266
Hudspeth,1,3476
Huerfano,2,6711
Hughes,9,31025
Humboldt,38,160966
Humphreys,8,27913
Hunt,19,86129
Hunterdon,26,128349
Huntingdon,12,45913
Huntington,9,37124
Huron,25,92744
Hutchinson,10,29493
Hyde,3,7230
Iberia,15,73240
Iberville,7,33387
Ida,3,7089
Idaho,5,16267
Imperial,31,174528
Independence,8,36647
Indian River,30,138028
Indiana,23,88880
Ingham,81,280895
Inyo,6,18546
Ionia,13,63905
Iosco,9,25887
Iowa,10,40042
Iredell,44,159437
Irion,1,1599
Iron,20,74526
Iroquois,9,29718
Irwin,2,9538
Isabella,15,70311
Isanti,8,37816
Island,22,78506
Isle of Wight,8,35270
Issaquena,1,1406
Itasca,11,45058
Itawamba,5,23401
Izard,4,13696
Jack,3,9044
Jackson,434,1714413
James City,11,67009
Jasper,62,288871
Jay,7,21253
Jeff Davis,4,17410
Jefferson,924,3584625
Jefferson Davis,10,44081
Jenkins,2,8340
Jennings,6,28525
Jerauld,1,2071
Jerome,5,22374
Jersey,6,22985
Jessamine,9,48586
Jewell,2,3077
Jim Hogg,2,5300
Jim Wells,7,40838
Jo Daviess,6,22678
Johnson,241,1121732
Johnston,28,179835
Jones,35,148429
Josephine,16,82713
Juab,2,10246
Judith Basin,1,2072
Juneau,13,57939
Juniata,5,24636
Kalamazoo,57,250331
Kalawao,1,90
Kalkaska,5,17153
Kanabec,4,16239
Kanawha,53,193063
Kandiyohi,12,42239
Kane,84,522394
Kankakee,29,113449
Karnes,4,14824
Kauai,16,67091
Kaufman,18,103350
Kay,11,46562
Kearney,2,6489
Kearny,1,3977
Keith,3,8368
Kemper,2,10456
Kenai Peninsula,13,55400
Kendall,16,148146
Kenedy,1,416
Kennebec,31,122151
Kenosha,35,166426
Kent,206,952095
Kenton,41,159720
Keokuk,4,10511
Kern,151,839631
Kerr,10,49625
Kershaw,15,61697
Ketchikan Gateway,4,13477
Kewaunee,4,20574
Keweenaw,2,2156
Keya Paha,1,824
Kidder,1,2435
Kimball,1,3821
Kimble,2,4607
King,398,1931535
King George,5,23584
King William,4,15935
King and Queen,2,6945
Kingfisher,4,15034
Kingman,3,7858
Kings,787,2657682
Kingsbury,2,5148
Kinney,1,3598
Kiowa,5,13397
Kit Carson,3,8270
Kitsap,55,251133
Kittitas,8,40915
Kittson,2,4552
Klamath,20,66380
Kleberg,6,32061
Klickitat,3,20318
Knott,5,16346
Knox,176,672676
Kodiak Island,5,13592
Koochiching,4,13311
Kootenai,25,138494
Kosciusko,19,77358
Kossuth,6,15543
La Crosse,25,114638
La Paz,9,20489
La Plata,10,51334
La Salle,32,135700
LaGrange,8,37128
LaMoure,2,4139
LaPorte,28,111467
Labette,8,21607
Lac qui Parle,3,7259
Lackawanna,59,214437
Laclede,6,35571
Lafayette,69,335661
Lafourche,23,96318
Lake,424,1876613
Lake and Peninsula,1,1631
Lake of the Woods,2,4045
Lamar,26,138332
Lamb,5,13977
Lamoille,7,24475
Lampasas,5,19677
Lancaster,189,892895
Lander,1,5775
Lane,87,353465
Langlade,6,19977
Lanier,2,10078
Lapeer,24,88319
Laramie,21,91738
Larimer,73,299630
Larue,4,14193
Las Animas,6,15507
Lassen,9,34895
Latah,7,37244
Latimer,3,11154
Lauderdale,50,200785
Laurel,13,58849
Laurens,30,114971
Lavaca,6,19263
Lawrence,105,401668
Le Flore,12,50384
Le Sueur,6,27703
Lea,18,64727
Leake,5,23805
Leavenworth,16,76227
Lebanon,31,133568
Lee,274,1079698
Leelanau,6,21708
Leflore,8,32317
Lehigh,76,349497
Lemhi,3,7936
Lenawee,23,99892
Lenoir,15,59495
Leon,71,292288
Leslie,3,11310
Letcher,7,24519
Levy,9,40801
Lewis,45,158977
Lewis and Clark,14,63395
Lexington,75,269433
Liberty,31,149800
Licking,32,166492
Limestone,24,106166
Lincoln,156,633028
Linn,73,350315
Lipscomb,2,3302
Litchfield,51,189927
Little River,4,13171
Live Oak,4,11531
Livingston,110,438050
Llano,6,19301
Logan,57,232160
Long,3,14464
Lonoke,16,68356
Lorain,73,301356
Los Alamos,4,17950
Los Angeles,2343,9818605
Loudon,10,48556
Loudoun,65,312311
Louisa,9,44540
Loup,1,632
Love,3,9423
Loving,1,82
Lowndes,43,180311
Lubbock,68,278831
Lucas,131,450713
Luce,3,6631
Lumpkin,4,29966
Luna,6,25095
Lunenburg,3,12914
Luzerne,104,320918
Lycoming,29,116111
Lyman,2,3755
Lynchburg,19,75568
Lynn,3,5915
Lyon,31,131422
Mackinac,6,11113
Macomb,216,840978
Macon,68,218696
Macoupin,13,47765
Madera,23,150865
Madison,322,1359917
Magoffin,4,13333
Mahaska,7,22381
Mahnomen,2,5413
Mahoning,70,238823
Major,3,7527
Malheur,8,31313
Manassas,7,37821
Manassas Park,2,14273
Manatee,78,322833
Manistee,9,24733
Manitowoc,19,81442
Marathon,27,134063
Marengo,6,21027
Maricopa,916,3817117
Maries,3,9176
Marin,55,252409
Marinette,12,41749
Marion,457,1962056
Mariposa,6,18251
Marlboro,7,28933
Marquette,29,82481
Marshall,85,365726
Martin,55,219725
Martinsville,5,13821
Mason,41,152896
Massac,4,15429
Matagorda,10,36702
Matanuska-Susitna,24,88995
Mathews,2,8978
Maui,37,154834
Maury,17,80956
Maverick,9,54258
Mayes,9,41259
McClain,6,34506
McCone,1,1734
McCook,2,5618
McCormick,3,10233
McCracken,17,65565
McCreary,4,18306
McCulloch,3,8283
McCurtain,8,33151
McDonald,4,23083
